player_id,contestantCode,shirt_number,contestantName,player,contestantClubName,contestantShortName,team_uuid,first_name,squad_position,last_name,team_id,date_of_birth,player_uuid,squad_position_detailed,age,attack_overall_apps,attack_overall_mins_played,attack_overall_goals,attack_overall_xg,attack_overall_goals_vs_xg,attack_overall_shots,attack_overall_shots_on_target,attack_overall_shot_conv,attack_overall_xg_per_shot,attack_nonPenalty_np_goals,attack_nonPenalty_np_xg,attack_nonPenalty_np_goals_vs_xg,attack_nonPenalty_np_shots,attack_nonPenalty_np_shots_on_target,attack_nonPenalty_np_shot_conv,attack_nonPenalty_np_xg_per_shot,possession_chanceCreation_mins_played,possession_chanceCreation_apps,possession_chanceCreation_chances_created,possession_chanceCreation_op_chances_created,possession_chanceCreation_chances_per_100_pass,possession_chanceCreation_chances_sp_op_ratio,possession_chanceCreation_xa,possession_chanceCreation_op_xa,possession_chanceCreation_assists,possession_chanceCreation_op_assists,possession_passing_passes,possession_passing_successful_passes,possession_passing_pass_perc,possession_passing_total_final_third_passes,possession_passing_successful_final_third_passes,possession_passing_ft_pass_perc,possession_passing_op_crosses,possession_passing_successful_op_crosses,possession_passing_cross_perc,possession_passing_through_balls,possession_passing_successful_through_balls,possession_passing_through_ball_perc,carries_overall_apps,carries_overall_carries,carries_overall_carry_distance,carries_overall_progressive_carries,carries_overall_progressive_distance,carries_overall_shot_ending,carries_overall_goal_ending,carries_overall_chance_ending,carries_overall_assist_ending,carries_overall_dist_per_carry,carries_overall_dist_per_progressive_carry,defending_overall_tackles,defending_overall_interceptions,defending_overall_recoveries,defending_overall_blocks,defending_overall_clearances,defending_overall_ground_duels,defending_overall_ground_duels_won,defending_overall_ground_duel_perc,defending_overall_aerial_duels,defending_overall_aerial_duels_won,defending_overall_aerial_duel_perc,defending_discipline_yellows,defending_discipline_reds,defending_discipline_fouls_commited,defending_discipline_pens_conceded,defending_discipline_offsides,goalkeeping_overall_apps,goalkeeping_overall_mins_played,goalkeeping_overall_team_mins,goalkeeping_overall_team_mins_perc,goalkeeping_overall_ogs,goalkeeping_overall_goals_conceded,goalkeeping_overall_saves_made,goalkeeping_overall_save_perc,goalkeeping_overall_goals_prevented,goalkeeping_overall_goals_prevented_rate,goalkeeping_overall_xgot_conceded
59949,EVE,23,Everton FC,Séamus Coleman,Everton,Everton,ehd2iemqmschhj2ec0vayztzz,Séamus,Defender,Coleman,11,1988-10-11,9nq9bocnqq6bu8ho4m26qmkt1,Full Back,37.65,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,5.0,1.0,1.0,5.56,0.0,0.164,0.164,0.0,0.0,18.0,18.0,100.0,5.0,5.0,100.0,3.0,2.0,66.67,0.0,0.0,0.0,2.0,3.0,77.761,2.0,46.935,0.0,0.0,0.0,0.0,25.92,23.468,0.0,0.0,2.0,0.0,2.0,2.0,1.0,50.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
60307,BHA,30,Brighton & Hove Albion FC,Pascal Groß,Brighton & Hove Albion,Brighton,e5p0ehyguld7egzhiedpdnc3w,Pascal,Midfielder,Groß,36,1991-06-15,3k6znit6fd9mbfcnphlwyvj6d,Central Midfielder,34.97,19.0,1636.0,1.0,1.45,-0.45,18.0,9.0,5.56,0.08,1.0,1.45,-0.45,18.0,9.0,5.56,0.08,1636.0,19.0,39.0,24.0,2.36,30.77,3.831,2.919,3.0,3.0,1073.0,922.0,85.93,364.0,268.0,73.63,56.0,21.0,37.5,2.0,0.0,0.0,18.0,257.0,2497.941,135.0,1299.48,0.0,0.0,10.0,2.0,9.72,9.626,29.0,12.0,76.0,4.0,24.0,101.0,48.0,47.525,30.0,13.0,43.333,2.0,0.0,17.0,0.0,4.0,,,,,,,,,,,
60689,NFO,11,Nottingham Forest FC,Chris Wood,Nottingham Forest,Nottm Forest,1qtaiy11gswx327s0vkibf70n,Chris,Forward,Wood,17,1991-12-07,cjdycctu96jilvbvnl7ndh9sl,Striker,34.49,15.0,906.0,3.0,4.25,-1.25,23.0,9.0,13.04,0.18,3.0,4.25,-1.25,23.0,9.0,13.04,0.18,906.0,15.0,5.0,5.0,3.16,0.0,0.321,0.321,0.0,0.0,160.0,111.0,69.38,61.0,41.0,67.21,1.0,0.0,0.0,1.0,0.0,0.0,8.0,12.0,158.901,4.0,92.715,2.0,1.0,2.0,0.0,13.242,23.179,1.0,1.0,14.0,4.0,9.0,22.0,8.0,36.364,65.0,26.0,40.0,0.0,0.0,6.0,0.0,4.0,,,,,,,,,,,
61256,MUN,18,Manchester United FC,Casemiro,Manchester United,Man Utd,6eqit8ye8aomdsrrq0hk3v7gh,Carlos Henrique,Midfielder,Casimiro,1,1992-02-23,6nb8hub5usi3iasywa2fjf1lh,Central Midfielder,34.28,34.0,2588.0,9.0,5.52,3.48,52.0,18.0,17.31,0.11,9.0,5.52,3.48,52.0,18.0,17.31,0.11,2588.0,34.0,36.0,34.0,2.17,0.0,3.124,3.119,2.0,2.0,1600.0,1301.0,81.31,436.0,306.0,70.18,17.0,4.0,23.53,13.0,5.0,38.46,34.0,262.0,2349.394,140.0,1246.035,5.0,1.0,4.0,0.0,8.967,8.9,90.0,31.0,138.0,27.0,73.0,246.0,131.0,53.252,111.0,57.0,51.351,9.0,1.0,46.0,0.0,5.0,,,,,,,,,,,
67089,BUR,1,Burnley FC,Martin Dúbravka,Burnley,Burnley,64bxxwu2mv2qqlv0monbkj1om,Martin,Goalkeeper,Dúbravka,90,1989-01-15,7w4l5mrrrg66wvdd8ndb5zb9x,Goalkeeper,37.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,3150.0,3420.0,92.0,4.0,71.0,127.0,64.14,0.71,1.0,67.71
72147,AVL,40,Aston Villa FC,Marco Bizot,Aston Villa,Aston Villa,b496gs285it6bheuikox6z9mj,Marco,Goalkeeper,Bizot,7,1991-03-10,7h2icfuwy00ilm14dw5xyl5g5,Goalkeeper,35.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,585.0,3420.0,17.0,1.0,10.0,19.0,65.52,0.62,1.0,9.62
75115,WHU,9,West Ham United FC,Callum Wilson,West Ham United,West Ham,4txjdaqveermfryvbfrr4taf7,Callum,Forward,Wilson,21,1992-02-27,66r7rq9kcoyow46ovmhzrtec5,Striker,34.27,32.0,1243.0,7.0,7.66,-0.66,38.0,16.0,18.42,0.2,7.0,7.66,-0.66,38.0,16.0,18.42,0.2,1243.0,32.0,8.0,7.0,4.52,0.0,0.55,0.55,1.0,1.0,156.0,101.0,64.74,83.0,51.0,61.45,5.0,1.0,20.0,0.0,0.0,0.0,25.0,56.0,634.276,36.0,429.03,10.0,1.0,3.0,1.0,11.326,11.917,4.0,3.0,28.0,2.0,5.0,83.0,31.0,37.349,64.0,19.0,29.688,1.0,0.0,12.0,0.0,9.0,,,,,,,,,,,
76357,FUL,10,Fulham FC,Tom Cairney,Fulham,Fulham,hzqh7z0mdl3v7gwete66syxp,Tom,Midfielder,Cairney,54,1991-01-20,cgvp2cli2gi4cnyl62kt80r11,Attacking Midfielder,35.37,24.0,763.0,2.0,1.21,0.79,17.0,2.0,11.76,0.07,2.0,1.21,0.79,17.0,2.0,11.76,0.07,763.0,24.0,11.0,10.0,1.5,9.09,0.816,0.758,0.0,0.0,692.0,641.0,92.63,191.0,160.0,83.77,3.0,1.0,33.33,4.0,2.0,50.0,23.0,204.0,2093.936,101.0,929.25,3.0,1.0,2.0,0.0,10.264,9.2,7.0,4.0,43.0,1.0,7.0,47.0,22.0,46.809,13.0,10.0,76.923,3.0,0.0,10.0,0.0,0.0,,,,,,,,,,,
77794,NEW,2,Newcastle United FC,Kieran Trippier,Newcastle United,Newcastle,7vn2i2kd35zuetw6b38gw9jsz,Kieran,Defender,Trippier,4,1990-09-19,65z99j774kjnbf7vm0u2q0jit,Full Back,35.71,21.0,1592.0,0.0,0.08,-0.08,2.0,0.0,0.0,0.04,0.0,0.08,-0.08,2.0,0.0,0.0,0.04,1592.0,21.0,28.0,15.0,1.49,42.86,2.012,1.132,1.0,1.0,1061.0,861.0,81.15,396.0,279.0,70.45,45.0,10.0,22.22,2.0,0.0,0.0,19.0,135.0,1469.849,86.0,793.59,0.0,0.0,1.0,0.0,10.888,9.228,26.0,10.0,73.0,1.0,48.0,110.0,48.0,43.636,48.0,24.0,50.0,3.0,0.0,22.0,0.0,1.0,,,,,,,,,,,
78916,NEW,33,Newcastle United FC,Dan Burn,Newcastle United,Newcastle,7vn2i2kd35zuetw6b38gw9jsz,Dan,Defender,Burn,4,1992-05-09,6f1ljb0an6d0g4nbap6xgxsyd,Central Defender,34.07,29.0,2199.0,1.0,1.06,-0.06,10.0,3.0,10.0,0.11,1.0,1.06,-0.06,10.0,3.0,10.0,0.11,2199.0,29.0,7.0,5.0,0.49,0.0,0.399,0.352,2.0,2.0,1054.0,836.0,79.32,211.0,110.0,52.13,14.0,1.0,7.14,1.0,0.0,0.0,27.0,181.0,1921.965,95.0,892.395,0.0,0.0,2.0,1.0,10.619,9.394,40.0,21.0,76.0,11.0,152.0,114.0,53.0,46.491,162.0,98.0,60.494,9.0,1.0,36.0,1.0,3.0,,,,,,,,,,,
79602,WOL,25,Wolverhampton Wanderers FC,Dan Bentley,Wolverhampton Wanderers,Wolves,b9si1jn1lfxfund69e9ogcu2n,Dan,Goalkeeper,Bentley,39,1993-07-13,5pbnl8ssfcrxf9lfg1pl3vxzp,Goalkeeper,32.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,270.0,3420.0,8.0,0.0,7.0,7.0,50.0,0.15,1.0,7.15
80201,FUL,1,Fulham FC,Bernd Leno,Fulham,Fulham,hzqh7z0mdl3v7gwete66syxp,Bernd,Goalkeeper,Leno,54,1992-03-04,2f79rc4i712sxstahjkq6pxp1,Goalkeeper,34.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,3420.0,3420.0,100.0,3.0,51.0,98.0,65.77,-2.56,0.94,45.44
80801,EVE,27,Everton FC,Idrissa Gueye,Everton,Everton,ehd2iemqmschhj2ec0vayztzz,Idrissa,Midfielder,Gueye,11,1989-09-26,ceerfv28fygp7m2euv5n5uu39,Defensive Midfielder,36.69,25.0,2101.0,2.0,2.0,0.0,29.0,7.0,6.9,0.07,2.0,2.0,0.0,29.0,7.0,6.9,0.07,2101.0,25.0,13.0,10.0,0.95,0.0,1.773,1.772,3.0,3.0,1065.0,930.0,87.32,326.0,260.0,79.75,19.0,4.0,21.05,4.0,1.0,25.0,25.0,218.0,1996.363,105.0,978.705,6.0,0.0,3.0,1.0,9.158,9.321,43.0,28.0,114.0,7.0,24.0,143.0,81.0,56.643,25.0,13.0,52.0,1.0,1.0,21.0,0.0,0.0,,,,,,,,,,,
83299,BHA,5,Brighton & Hove Albion FC,Lewis Dunk,Brighton & Hove Albion,Brighton,e5p0ehyguld7egzhiedpdnc3w,Lewis,Defender,Dunk,36,1991-11-21,jagvvzc7329tf2c64mnc251,Central Defender,34.53,33.0,2837.0,1.0,1.71,-0.71,24.0,3.0,4.17,0.07,1.0,1.71,-0.71,24.0,3.0,4.17,0.07,2837.0,33.0,7.0,7.0,0.31,0.0,0.573,0.568,0.0,0.0,2492.0,2301.0,92.34,273.0,190.0,69.6,5.0,1.0,20.0,1.0,1.0,100.0,32.0,485.0,4769.485,214.0,1975.995,0.0,0.0,0.0,0.0,9.834,9.234,35.0,30.0,136.0,26.0,142.0,91.0,51.0,56.044,126.0,76.0,60.317,10.0,0.0,15.0,1.0,1.0,,,,,,,,,,,
84182,WHU,23,West Ham United FC,Alphonse Areola,West Ham United,West Ham,4txjdaqveermfryvbfrr4taf7,Alphonse,Goalkeeper,Areola,21,1993-02-27,9eaevg9okpy4gcm6yofg7vbv9,Goalkeeper,33.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,1800.0,3420.0,53.0,1.0,37.0,77.0,67.54,-0.49,0.97,35.51
84450,SUN,34,Sunderland AFC,Granit Xhaka,Sunderland,Sunderland,1r3545b2dzan8yqa80gtmcjch,Granit,Midfielder,Xhaka,56,1992-09-27,6264xjr1y00yu7b9j2pknalzp,Central Defender,33.68,34.0,2903.0,1.0,1.02,-0.02,21.0,5.0,4.76,0.05,1.0,1.02,-0.02,21.0,5.0,4.76,0.05,2903.0,34.0,34.0,19.0,1.15,26.47,3.707,2.098,6.0,2.0,1807.0,1512.0,83.67,600.0,441.0,73.5,26.0,7.0,26.92,8.0,3.0,37.5,34.0,348.0,3475.124,179.0,1628.13,2.0,0.0,1.0,0.0,9.986,9.096,50.0,29.0,179.0,20.0,85.0,166.0,99.0,59.639,91.0,56.0,61.538,8.0,0.0,23.0,0.0,0.0,,,,,,,,,,,
85633,NFO,26,Nottingham Forest FC,Matz Sels,Nottingham Forest,Nottm Forest,1qtaiy11gswx327s0vkibf70n,Matz,Goalkeeper,Sels,17,1992-02-26,2vgr8c97x4b2e51tyvvixusid,Goalkeeper,34.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,2667.0,3420.0,78.0,3.0,39.0,95.0,70.9,3.61,1.08,39.61
87835,WOL,2,Wolverhampton Wanderers FC,Matt Doherty,Wolverhampton Wanderers,Wolves,b9si1jn1lfxfund69e9ogcu2n,Matt,Defender,Doherty,39,1992-01-16,31wf775s975qy3il33oora8k5,Full Back,34.38,11.0,791.0,0.0,0.09,-0.09,3.0,0.0,0.0,0.03,0.0,0.09,-0.09,3.0,0.0,0.0,0.03,791.0,11.0,3.0,3.0,1.04,0.0,0.184,0.18,0.0,0.0,298.0,240.0,80.54,63.0,40.0,63.49,7.0,2.0,28.57,0.0,0.0,0.0,10.0,53.0,516.333,25.0,177.24,0.0,0.0,1.0,0.0,9.742,7.09,16.0,7.0,28.0,6.0,37.0,52.0,24.0,46.154,31.0,21.0,67.742,4.0,0.0,16.0,1.0,0.0,,,,,,,,,,,
88248,NFO,27,Nottingham Forest FC,Stefan Ortega,Nottingham Forest,Nottm Forest,1qtaiy11gswx327s0vkibf70n,Stefan,Goalkeeper,Ortega,17,1992-11-06,5d6d4oc2rpau0mbbbt2dmtzv9,Goalkeeper,33.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,270.0,3420.0,8.0,0.0,4.0,8.0,66.67,1.15,1.25,5.15
88894,AVL,6,Aston Villa FC,Ross Barkley,Aston Villa,Aston Villa,b496gs285it6bheuikox6z9mj,Ross,Midfielder,Barkley,7,1993-12-05,dxeju5zcb6j8etdgwq0kweor9,Central Midfielder,32.49,21.0,852.0,3.0,1.51,1.49,18.0,8.0,16.67,0.08,3.0,1.51,1.49,18.0,8.0,16.67,0.08,852.0,21.0,10.0,9.0,2.3,0.0,1.348,1.347,1.0,1.0,407.0,357.0,87.71,142.0,121.0,85.21,0.0,0.0,0.0,4.0,2.0,50.0,20.0,120.0,1485.601,57.0,668.43,4.0,0.0,2.0,0.0,12.38,11.727,14.0,2.0,45.0,3.0,10.0,76.0,36.0,47.368,30.0,14.0,46.667,1.0,0.0,9.0,0.0,0.0,,,,,,,,,,,
90585,NFO,30,Nottingham Forest FC,Willy Boly,Nottingham Forest,Nottm Forest,1qtaiy11gswx327s0vkibf70n,Willy,Defender,Boly,17,1991-02-03,90585,Central Defender,35.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
91651,MCI,8,Manchester City FC,Mateo Kovacic,Manchester City,Man City,a3nyxabgsqlnqfkeg41m6tnpp,Mateo,Midfielder,Kovacic,43,1994-05-06,ehopba709zukxj4vgcync942d,Central Midfielder,32.08,6.0,126.0,0.0,0.16,-0.16,2.0,0.0,0.0,0.08,0.0,0.16,-0.16,2.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,46.0,488.868,25.0,255.045,0.0,0.0,1.0,1.0,10.628,10.202,2.0,2.0,10.0,0.0,4.0,12.0,6.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
91889,WHU,11,West Ham United FC,Niclas Füllkrug,West Ham United,West Ham,4txjdaqveermfryvbfrr4taf7,Niclas,Forward,Füllkrug,21,1993-02-09,cjq9g6zgcxk1ceo2xzpe1qnyt,Striker,33.31,8.0,408.0,0.0,0.92,-0.92,9.0,3.0,0.0,0.1,0.0,0.92,-0.92,9.0,3.0,0.0,0.1,408.0,8.0,7.0,7.0,7.53,0.0,0.226,0.225,0.0,0.0,93.0,57.0,61.29,41.0,18.0,43.9,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,67.921,3.0,2.31,0.0,0.0,0.0,0.0,9.703,0.77,2.0,2.0,10.0,1.0,4.0,19.0,3.0,15.789,50.0,18.0,36.0,0.0,0.0,11.0,0.0,3.0,,,,,,,,,,,
